Country / territory,Measure Names,Report Epi Week,Year of Date,Measure Values,Laboratory confirmed cases,Suspected cases
Aruba,Suspected,1,2016,0,0,0
Aruba,Confirmed,1,2016,0,0,0
Aruba,Suspected,2,2016,0,0,0
Aruba,Confirmed,2,2016,0,0,0
Aruba,Suspected,3,2016,0,0,0
Aruba,Confirmed,3,2016,0,0,0
Aruba,Suspected,4,2016,0,0,0
Aruba,Confirmed,4,2016,0,0,0
Barbados,Suspected,1,2016,0,3,0
Barbados,Confirmed,1,2016,3,3,0
Barbados,Suspected,,2016,0,0,0
Barbados,Confirmed,2,2016,0,0,0
Barbados,Suspected,3,2016,0,0,0
Barbados,Confirmed,3,2016,0,0,0
Barbados,Suspected,4,2016,0,0,0
Barbados,Confirmed,4,2016,0,0,0
Bolivia,Suspected,1,2016,0,0,0
Bolivia,Confirmed,1,2016,0,0,0
Bolivia,Suspected,2,2016,0,1,0
Bolivia,Confirmed,2,2016,1,1,0
Bolivia,Suspected,3,2016,0,0,0
Bolivia,Confirmed,3,2016,0,0,0
Bolivia,Suspected,4,2016,0,0,0
Bolivia,Confirmed,4,2016,0,0,0
Bonaire,Suspected,1,2016,0,0,0
Bonaire,Confirmed,1,2016,0,0,0
Bonaire,Suspected,2,2016,0,0,0
Bonaire,Confirmed,2,2016,0,0,0
Bonaire,Suspected,3,2016,0,0,0
Bonaire,Confirmed,3,2016,0,0,0
Bonaire,Suspected,4,2016,0,0,0
Bonaire,Confirmed,4,2016,0,0,0
Brazil,Suspected,1,2016,0,0,0
Brazil,Confirmed,1,2016,0,0,0
Brazil,Suspected,2,2016,0,0,0
Brazil,Confirmed,2,2016,0,0,0
Brazil,Suspected,3,2016,0,0,0
Brazil,Confirmed,3,2016,0,0,0
Brazil,Suspected,4,2016,0,0,0
Brazil,Confirmed,4,2016,0,0,0
Colombia,Suspected,1,2016,"1,789",30,"1,789"
Colombia,Confirmed,1,2016,30,30,"1,789"
Colombia,Suspected,2,2016,"2,866",22,"2,866"
Colombia,Confirmed,2,2016,22,22,"2,866"
Colombia,Suspected,3,2016,"3,626",252,"3,626"
Colombia,Confirmed,3,2016,252,252,"3,626"
Colombia,Suspected,4,2016,"5,067",281,"5,067"
Colombia,Confirmed,4,2016,281,281,"5,067"
Costa Rica,Suspected,1,2016,0,0,0
Costa Rica,Confirmed,1,2016,0,0,0
Costa Rica,Suspected,2,2016,0,0,0
Costa Rica,Confirmed,,2016,0,0,0
Costa Rica,Suspected,3,2016,0,0,0
Costa Rica,Confirmed,3,2016,0,0,0
Costa Rica,Suspected,4,2016,0,1,0
Costa Rica,Confirmed,4,2016,1,1,0
Curacao,Suspected,1,2016,0,0,0
Curacao,Confirmed,1,2016,0,0,0
Curacao,Suspected,2,2016,0,0,0
Curacao,Confirmed,2,2016,0,0,0
Curacao,Suspected,3,2016,0,0,0
Curacao,Confirmed,3,2016,0,0,0
Curacao,Suspected,4,2016,0,1,0
Curacao,Confirmed,4,2016,1,1,0
Dominican Republic,Suspected,1,2016,0,0,0
Dominican Republic,Confirmed,1,2016,0,0,0
Dominican Republic,Suspected,2,2016,0,0,0
Dominican Republic,Confirmed,2,2016,0,0,0
Dominican Republic,Suspected,3,2016,27,10,27
Dominican Republic,Confirmed,3,2016,10,10,27
Dominican Republic,Suspected,4,2016,77,0,77
Dominican Republic,Confirmed,4,2016,0,0,77
Ecuador,Suspected,1,2016,0,2,0
Ecuador,Confirmed,1,2016,2,2,0
Ecuador,Suspected,2,2016,0,5,0
Ecuador,Confirmed,2,2016,5,5,0
Ecuador,Suspected,3,2016,0,6,0
Ecuador,Confirmed,3,2016,6,6,0
Ecuador,Suspected,4,2016,0,12,0
Ecuador,Confirmed,4,2016,12,12,0
El Salvador,Suspected,1,2016,492,0,492
El Salvador,Confirmed,1,2016,0,0,492
El Salvador,Suspected,2,2016,"1,069",0,"1,069"
El Salvador,Confirmed,2,2016,0,0,"1,069"
El Salvador,Suspected,3,2016,913,0,913
El Salvador,Confirmed,3,2016,0,0,913
El Salvador,Suspected,4,2016,828,0,828
El Salvador,Confirmed,4,2016,0,0,828
French Guiana,Suspected,1,2016,0,7,0
French Guiana,Confirmed,1,2016,7,7,0
French Guiana,Suspected,2,2016,130,39,130
French Guiana,Confirmed,2,2016,39,39,130
French Guiana,Suspected,3,2016,115,29,115
French Guiana,Confirmed,3,2016,29,29,115
